,name,director,duration,gender_of_director,country,continent
1,Ring,Hideo Nakata,95,male,Japan,Asia
2,The Lord of the Rings,Ralph Bakshi,132,male,United Kingdom,Europe
3,Arrival,Denis Villeneuve,116,male,United States of America,North America
4,mother!,Darren Aronofsky,121,male,United States of America,North America
5,Pi,Darren Aronofsky,84,male,United States of America,North America
6,The Lighthouse,Robert Eggers,109,male,United States of America,North America
7,Solaris,Andrei Tarkovsky,160,male,Soviet Union,Asia
8,High Life,Claire Denis,110,female,Germany,Europe
