countryLabel,code
Niederländische Antillen,ANT
Sowjetunion,SUN
Deutsche Demokratische Republik,DDR
Serbien und Montenegro,SCG
Sozialistische Föderative Republik Jugoslawien,YUG
Kondominium Neue Hebriden,NHB
Obervolta,HVO
Republik Dahomey,DHY
Bundesrepublik Jugoslawien,YUG
Belarussische Sozialistische Sowjetrepublik,BYS
Tschechoslowakei,CSK
